u,v,key,osmid,name,highway,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,lanes,ref,access,maxspeed,tunnel,junction
27547627,656035868,0,8868091,西直门北大街,trunk,True,False,358.375,"LINESTRING (116.3493751 39.940267, 116.3493377 39.9404702, 116.3493276 39.9405162, 116.3493237 39.9405396, 116.349321 39.940563, 116.3493184 39.9405879, 116.3493169 39.9406128, 116.3493159 39.9406382, 116.3493156 39.9406626, 116.3493162 39.9407064, 116.3493174 39.9407502, 116.3493195 39.9407944, 116.3493228 39.9408378, 116.3493267 39.940882, 116.3493317 39.9409253, 116.3493381 39.9409691, 116.3493463 39.9410129, 116.3493589 39.9410686, 116.3493729 39.9411244, 116.3493876 39.9411802, 116.3494037 39.941236, 116.3494194 39.9412823, 116.3494275 39.9413052, 116.3494369 39.941328, 116.3494474 39.9413522, 116.3494585 39.941376, 116.3494707 39.9413993, 116.3494836 39.9414226, 116.3494979 39.9414462, 116.3495129 39.9414697, 116.3495457 39.9415181, 116.3496128 39.9416137, 116.349682 39.9417117, 116.3497169 39.941761, 116.3497539 39.9418151, 116.3497822 39.9418567, 116.3498091 39.9418983, 116.3498325 39.9419367, 116.3498587 39.9419815, 116.3498789 39.942018, 116.3498984 39.9420545, 116.3499085 39.9420737, 116.3499182 39.9420929, 116.3499264 39.9421105, 116.3499363 39.9421332, 116.3499484 39.9421624, 116.3499585 39.9421892, 116.3499714 39.9422223, 116.3499816 39.9422505, 116.3499903 39.9422742, 116.3499977 39.9422968, 116.3500044 39.9423199, 116.3500117 39.9423474, 116.3500181 39.9423721, 116.3500246 39.9424005, 116.35003 39.9424296, 116.3500353 39.9424595, 116.3500386 39.9424853, 116.3500424 39.9425159, 116.3500482 39.9425728, 116.3500582 39.9426856, 116.3500662 39.9428016, 116.3501019 39.9433794)",38.29169522444798,0.0009386606721496323,,,,,,,
27547627,64490206,0,"[51391961, 163053521, 163053527]",北二环,trunk,True,False,471.42099999999994,"LINESTRING (116.3493751 39.940267, 116.3493839 39.9402975, 116.3493852 39.9403168, 116.3493875 39.9403354, 116.3493911 39.9403599, 116.3493959 39.9403903, 116.3493993 39.9404167, 116.3494028 39.9404432, 116.3494054 39.9404698, 116.3494075 39.9404965, 116.3494099 39.9405329, 116.3494118 39.9405697, 116.3494141 39.9406458, 116.3494173 39.9407218, 116.3494194 39.9407624, 116.3494216 39.940803, 116.3494227 39.9408228, 116.3494249 39.9408425, 116.3494309 39.9408804, 116.3494357 39.9409044, 116.3494406 39.9409273, 116.3494478 39.9409564, 116.3494577 39.9409903, 116.3494714 39.9410323, 116.3494897 39.941077, 116.3495098 39.9411218, 116.349531 39.9411657, 116.3495532 39.9412097, 116.3495708 39.9412431, 116.3495894 39.9412765, 116.3496074 39.941307, 116.3496264 39.9413368, 116.3496509 39.9413751, 116.3496759 39.9414138, 116.3497 39.941451, 116.3497255 39.9414887, 116.3497527 39.9415278, 116.3497788 39.9415646, 116.349833 39.9416412, 116.3499712 39.9418338, 116.3500038 39.94188, 116.3500373 39.9419254, 116.3500546 39.941949, 116.3500719 39.9419719, 116.3500892 39.9419944, 116.3501065 39.9420162, 116.3501356 39.9420525, 116.3501666 39.9420888, 116.3502011 39.9421251, 116.3502376 39.9421621, 116.3502722 39.9421953, 116.3503077 39.9422285, 116.3503438 39.9422614, 116.3503819 39.9422943, 116.3504136 39.9423204, 116.3504463 39.9423457, 116.3504795 39.9423708, 116.3505156 39.9423959, 116.3505525 39.9424206, 116.3505913 39.942446, 116.350627 39.9424678, 116.3506636 39.9424897, 116.3507053 39.9425137, 116.350747 39.9425371, 116.3507916 39.9425611, 116.3508372 39.9425845, 116.3508855 39.9426081, 116.3509387 39.9426321, 116.3509886 39.9426532, 116.3510433 39.9426746, 116.3510832 39.9426896, 116.351123 39.9427039, 116.3511667 39.9427185, 116.3512114 39.9427324, 116.3513008 39.9427585, 116.3513901 39.9427847, 116.3517573 39.9428885, 116.351883 39.9429252, 116.3520072 39.9429608, 116.3521254 39.9429941, 116.352245 39.9430275, 116.3523643 39.9430617, 116.3524933 39.9430979, 116.3527275 39.9431662)",38.00313951390879,0.0005292034569342223,yes,,,,,,
27547644,1350995961,0,120491964,,trunk_link,True,False,75.553,"LINESTRING (116.3501458 39.9476852, 116.3502271 39.9483618)",20.60320926520961,0.0010981061793239597,,,,,,,
31017966,1190950081,0,173308105,北二环,trunk,True,False,94.909,"LINESTRING (116.4053914 39.9476591, 116.4065022 39.947717)",11.1108833892844,0.0008298659519357895,,3,,,,,
31017991,321759621,0,103143718,,trunk_link,True,False,59.114,"LINESTRING (116.4053672 39.9477768, 116.4046816 39.9478566)",25.651139376289375,0.002162853447747913,,,,,,,
31017991,31331906,0,1052911053,北二环,trunk,True,False,624.943,"LINESTRING (116.4053672 39.9477768, 116.4046889 39.9477644, 116.4020434 39.9477159, 116.3993123 39.9477091, 116.3980371 39.9477018)",30.95693819633612,0.001135283712853988,,3,,,,,
31018090,287334202,0,33681034,东二环,trunk,True,False,128.574,"LINESTRING (116.4263068 39.9477061, 116.4266087 39.9474911, 116.4268073 39.9473022, 116.4269566 39.9471364, 116.4270844 39.9469615, 116.4271856 39.9467817)",30.10045724106164,0.001341201136940851,,3,,,,,
31194136,266111656,0,134699913,,residential,False,True,42.51,"LINESTRING (116.4005425 39.9116148, 116.4010405 39.9116304)",1.5934611588003627,0.007426572570041104,,,,,,,
31194136,733788139,0,173229518,南河沿大街,secondary,False,False,42.742,"LINESTRING (116.4005425 39.9116148, 116.4005231 39.9119989)",1.5721056856678506,0.0033280376962898117,,,,,,,
31194136,266111658,0,173229518,南河沿大街,secondary,False,True,107.18299999999999,"LINESTRING (116.4005425 39.9116148, 116.4005766 39.9107292, 116.4005796 39.9106513)",1.4553733838086311,0.029145096852518308,,,,,,,
31194141,31194142,0,"[588327418, 1031650606, 1031650607]",东华门大街,unclassified,False,True,107.201,"LINESTRING (116.3954762 39.9137334, 116.3955763 39.9137376, 116.3961981 39.9137519, 116.3967322 39.9137696)",1.4456878712419503,0.00026838432635534085,yes,2,,,,,
31194142,733788527,0,25081384,北池子大街,tertiary,False,False,217.648,"LINESTRING (116.3967322 39.9137696, 116.3966409 39.9157257)",1.6268227436217504,0.00441598489842824,,,,,,,
31194142,533627836,0,1011023638,东华门大街,secondary,False,True,55.422,"LINESTRING (116.3967322 39.9137696, 116.397381 39.9137976)",1.6210670548233364,0.003982463155695331,,,,,,,
